ID_Article,communityId,ID_RelatedVenue,title,year,abstract
984799,13990,8839,"From grad school, to startup to acquisition",2014,"In 2006, John Bicket and Sanjit Biswas took a leave from their graduate research at MIT to start a networking company called Meraki, which eventually grew to a fast-growing, profitable company acquired by Cisco in 2012 for $1.2 billion.   In this talk, Sanjit will recount the history of Meraki, from the Roofnet project at MIT CSAIL, to bootstrapping the business from the sales of their first product, to scaling up to over 500 employees. He will also share some of the lessons learned along the way, and will discuss some similarities between building computer systems as Ph.D. students and building a company."
2066865,13990,22021,Sneak-path constraints in memristor crossbar arrays,2013,"In a memristor crossbar array, a memristor is positioned on each row-column intersection, and its resistance, low or high, represents two logical states. The state of every memristor can be sensed by the current flowing through the memristor. In this work, we study the sneak path problem in crossbars arrays, in which current can sneak through other cells, resulting in reading a wrong state of the memristor. Our main contributions are a new characterization of arrays free of sneak paths, and efficient methods to read the array cells while avoiding sneak paths. To each read method we match a constraint on the array content that guarantees sneak-path free readout, and calculate the resulting capacity."
2228102,13990,20561,Developing a Critical Infrastructure and Control Systems Cybersecurity Curriculum,2013,"This paper discusses the initial course development, portable living laboratory environment, student achievements and course revisions for an undergraduate and graduate level critical infrastructure and control systems cybersecurity curriculum. The curriculum developed is based upon DePaul University's Computer and Network Security (CNS) 366 / 466 delivered during the Spring 2011, Fall 2011 and Spring 2012 quarters and collaborative industry partnerships. The educational methods employed in the curriculum provide the students with hands-on, cognitive experiences associated with production control system equipment. The critical infrastructure testbed projects coupled with the rapid prototyping environment provide faculty and students with real world associations leading to increased risk analysis accuracy and knowledge conveyance. The curriculum may be used at other institutions to cross-educate computer science and security disciplines with traditional engineering programs and become associated within the current partnership of industry and academic institutions leveraging the curriculum."
1972033,13990,11321,Information-theoretic connectivity-based cortex parcellation,2011,"One of the most promising avenues for compiling connectivity data originates from the notion that individual brain regions maintain individual connectivity profiles; the functional repertoire of a cortical area (the functional fingerprint) is closely related to its anatomical connections (the connectional fingerprint) and, hence, a segregated cortical area may be characterized by a highly coherent connectivity pattern. Existing clustering techniques in the context of connectivity-based cortex parcellation are usually exploratory. We therefore advocate an information-theoretic framework for connectivity-based cortex parcellation which avoids many assumptions imposed by previous methods. Clustering is based upon maximizing connectivity information while allowing noise in the data to vote for the optimal number of cortical subunits. The automatic parcellation of the inferior frontal gyrus together with the precentral gyrus reveals cortical subunits consistent with previous studies."
1999607,13990,22021,Global estimation of anatomical connection strength in diffusion MRI tractography by message-passing,2011,"This paper addresses an important problem in diffusion weighted MRI tractography -the estimation of the anatomical strength of reconstructed neuronal fibers. Our method incorporates information on the amount of white matter in voxels (small areas of brain) with diffusion data and estimates structural strength of fibers globally, by considering all the fibers and all the voxels simultaneously. We achieve this by using a message-passing optimization procedure, specially tailored for this problem, that operates on a bipartite graph with nodes corresponding to fibers and voxels. New estimates of fiber strength allow derivation of new measures for quantifying anatomical connections between large gray matter regions. In this paper we propose two: Anatomical Connection Weight (ACW) and Normalized Connection Weight (NCW). The proposed methodology was applied on human data and tested for convergence and consistency."
2455515,13990,20348,Cyclic network automata and cohomological waves,2014,"Following Baryshnikov-Coffman-Kwak, we use cyclic network automata (CNA) to generate a decentralized protocol for dynamic coverage problems in a sensor network, with only a small fraction of sensors awake at every moment. This paper gives a rigorous analysis of CNA and shows that waves of awake-state nodes automatically solve pusuit/evasion-type problems without centralized coordination. As a corollary of this work, we unearth some interesting topological interpretations of features previously observed in cyclic cellular automata (CCA). By considering CCA over networks and completing to simplicial complexes, we induce dynamics on the higher-dimensional complex. In this setting, waves are seen to be generated by topological defects with a nontrivial degree (or winding number). The simplicial complex has the topological type of the underlying map of the workspace (a subset of the plane), and the resulting waves can be classified cohomologically. This allows one to 'program' pulses in the sensor network according to cohomology class. We give a realization theorem for such pulse waves."
813498,13990,22021,"Brute force searching, the typical set and Guesswork",2013,"Consider the situation where a word is chosen probabilistically from a finite list. If an attacker knows the list and can inquire about each word in turn, then selecting the word via the uniform distribution maximizes the attacker's difficulty, its Guesswork, in identifying the chosen word. It is tempting to use this property in cryptanalysis of computationally secure ciphers by assuming coded words are drawn from a source's typical set and so, for all intents and purposes, uniformly distributed within it. By applying recent results on Guesswork, for i.i.d. sources it is this equipartition ansatz that we investigate here. In particular, we demonstrate that the expected Guesswork for a source conditioned to create words in the typical set grows, with word length, at a lower exponential rate than that of the uniform approximation, suggesting use of the approximation is ill-advised."
1643158,13990,10192,Games of Timing Theoretical Protocol Development and Performance Analysis for Missile Defense,2013,"The games of timing theory enforcing optimal timing intervals and two optimal strategies will be expressed as the following two software theory generated protocols. The two optimal strategy software protocols are first, the battle manager must optimally allocate sensor and weapon systems with the threat launch events. This Internal Battle Manager Decision Optimization(BMDO) Protocol requires the threat constraints of (1) perceived threat inventory, (2) threat missile, and (3) ground asset being attacked. The theoretical generation of the games of timing optimal timing intervals and the two optimal strategies are derived realizing risk management equations within the BMDO Protocol optimization constraints solutions. Invariant Imbedding is the mathematical concept required to contain the BMDO Protocol within the Kernel of the games of timing optimal strategy and optimal timing interval solution to achieve the second and final optimal strategy protocol, the Optimal Battle Manager Decision(OBMD) Protocol. The performance analysis of the OBMD Protocol for constraints and requirements on processor capability and timeliness on a Network Centric Star Topology Architecture is also described for the two Models, Model 1 Mid-course Engagement scenario, and Model 2 Ascent Phase in the Target Trajectory."
698462,13990,22021,Information-theoretic study of voting systems,2013,"The typical paradigm in voting theory involves n voters and m candidates. Every voter ranks the candidates resulting in a permutation of the m candidates. A key problem is to derive the aggregate result of the voting. A popular method for vote aggregation is based on the Condorcet criterion. The Condorcet winner is the candidate who wins every other candidate by pairwise majority. However, the main disadvantage of this approach, known as the Condorcet paradox, is that such a winner does not necessarily exist since this criterion does not admit transitivity. This paradox is mathematically likely (if voters assign rankings uniformly at random, then with probability approaching one with the number of candidates, there will not be a Condorcet winner), however, in real life scenarios such as elections, it is not likely to encounter the Condorcet paradox. In this paper we attempt to improve our intuition regarding the gap between the mathematics and reality of voting systems. We study a special case where there is global intransitivity between all candidates. We introduce tools from information theory and derive an entropy-based characterization of global intransitivity. In addition, we tighten this characterization by assuming that votes tend to be similar; in particular they can be modeled as permutations that are confined to a sphere defined by the Kendalls τ distance."
809622,13990,20348,Cyclic network automata for indoor sensor network,2012,"Following Baryshnikov-Coffman-Kwak [1], we use network cyclic cellular automata to generate a decentralized protocol, with only a small fraction of sensors awake. The work here shows that waves of awake-state nodes turn corners and automatically solve  pusuit/evasion -type problems without centralized coordination."
1389569,13990,208,FailureSense: Detecting Sensor Failure Using Electrical Appliances in the Home,2014,"With the proliferation of inexpensive sensors, sensors are increasingly being used in smart homes. Recent experience on long term sensor deployment in residential homes has identified the potential risk of various types of sensor failure. Motivated by real examples, we develop new schemes to detect not only fail-stop failure, but obstructed-view and moved-location failures that are not the traditional fault detection foci. Our proposed solution, FailureSense, uses a novel idea of using electrical appliances to detect sensor failure at home. We learn the regular patterns of sensor firing with respect to appliance activation events and report a failure when we observe a significant deviation from the regularity. By using data from three real home deployments of over 71 days and 2818 recorded turn on and off events of 19 monitored appliances, we observe that FailureSense can detect obstructed-view, moved-location, and fail-stop failures with 82.84%, 90.53%, and 86.87% precision, respectively, with an average of 88.81% recall."
1672005,13990,9015,Opo: a wearable sensor for capturing high-fidelity face-to-face interactions,2014,"Currently, researchers study face-to-face interactions using wearable sensors and smartphones which provide 2 to 5 m proximity sensing every 20 to 300 s. However, studying interaction distance, which is known to impact disease spread, communication behavior, and other phenomenon, has proven challenging. Smartphones are limited by their inaccurate and/or impractical ranging capabilities, while wearable sensors are limited by their need for infrastructure nodes, bulkiness, and/or inaccurate ranging. To address these challenges, we present Opo, a 14 cm 2 , 11.4 g lapel pin built from commercial components. Opo sensors range neighbors every 2 s up to 2 m away with 5% average error, all while requiring zero infrastructure and improving upon current wearable sensors' accuracy and power usage. The cornerstone of Opo is an ultrasonic wakeup circuit that draws 19 μA when no neighbors are present. This enables Opo sensors to discover and range neighbors without the need for infrastructure nodes and slow or power-hungry RF discovery protocols. Thus, Opo is able to sense interaction distance with high accuracy (5 cm) and temporal fidelity (2 s) on a limited power budget."
1419443,13990,208,Dynamic configuration of mobile cloud middleware based on traffic load,2012,"The increasing demand of the mobile applications for processing power, storage space and energy saving have led them in adapting the cloud. To ease the offloading of these resource-intensive activities to the cloud, we have developed the Mobile Cloud Middleware (MCM), which also helps in combining services from multiple clouds. While MCM is shown to be horizontally scalable, the dynamic loads of telecommunication networks demand for identifying ideal topology and hot re-configuration of the deployment. The paper proposes the characteristics to be considered for identifying the topology and using concurrent languages like Erlang for adapting the topology dynamically."
1374156,13990,208,Small Unmanned Aerial Vehicle System for Wildlife Radio Collar Tracking,2014,"This paper describes a low cost system for tracking wildlife that is equipped with radio collars. Currently, researchers have to physically go into the field with a directional antenna to try to pinpoint the VHF (very high frequency) signal originating from a wildlife tracking collar. Depending on the terrain, it could take an entire day to locate a single animal. To vastly improve upon this traditional approach, the system proposed here utilizes a small fixed-wing aircraft drone with a simple radio on-board, flying an automated mission. Received signal strength is recorded, and used to create a heat map that shows the collar's position. A prototype of this system was built using off-the-shelf hardware and custom signal processing algorithms. Initial field tests confirm the systems capabilities and its promise for wildlife tracking."
1767599,13990,22021,Algebraic computation of pattern maximum likelihood,2011,"Pattern maximum likelihood (PML) is a technique for estimating the probability multiset of an unknown distribution. With any random sample, it associates the distribution maximizing the probability of its pattern. The required computation is a maximization of a monomial symmetric polynomial over the monotone simplex. The PML of only very few patterns have been found analytically, and for other patterns, the PML has been approximated by a heuristic algorithm. Taking an algebraic approach, we determine the PML of short patterns by solving a system of multivariate polynomial equations using the method of resultants. Using this approach, we determine the PML of the pattern 1112234, the last length-7 pattern whose PML was unknown. Under two plausible but yet unproved assumptions on the optimal alphabet size and the number of distinct probabilities, we also find the PML distribution of all previously unknown patterns of length up to 14."
1567136,13990,208,Towards Real World Aware Enterprise Systems - Reflecting the Quality Information of Physical Resources in Services and Processes,2011,"In order to facilitate the development of IoT-aware business processes that adapt to real-world context information, we present a novel modeling approach that reflects IoT quality information inherent in physical resources and maps them to the higher layers of enterprise information systems. Quality information is crucial to real-world applications, and is therefore part of standard real-world resource descriptions. Correspondingly, on a service level, quality aspects are referred to as Quality of Service (QoS) and are usually expressed by using Service Level Agreements that are unrelated to the quality information on a resource level. On a process level, quality aspects are currently much less considered, as IoT-aware business processes are still to emerge at a large scale. In order to bridge the gap between physical resources and business process management, we propose to map Quality of Information (QoI) and Quality of Actuation (QoA) common to the resource layer as important, non-functional Internet of Things (IoT) related aspects to the service and process layers in enterprise information systems. By following a bottom up approach, we investigate how standard modeling notations such as USDL and BPMN 2.0 can be integrated and augmented for handling the real world aspects QoI and QoA within IoT-aware business processes. Finally, we exemplify the proposed enhancements by a business process including IoT resources and services."
